"Date","Price","Open","High","Low","Vol.","Change %"
"12/13/2022","33.32","34.12","34.29","33.18","9.52M","0.51%"
"12/12/2022","33.15","33.20","33.35","32.65","5.87M","2.28%"
"12/09/2022","32.41","33.88","34.07","32.36","5.38M","-3.83%"
"12/08/2022","33.70","33.17","34.15","33.17","7.24M","4.43%"
"12/07/2022","32.27","31.39","32.61","31.24","6.05M","-2.54%"
"12/06/2022","33.11","32.83","33.41","32.52","4.66M","1.25%"
"12/05/2022","32.70","33.33","33.94","31.86","8.70M","1.36%"
"12/02/2022","32.26","31.98","32.64","31.25","8.55M","1.22%"
"12/01/2022","31.87","30.74","31.89","30.56","5.59M","-0.25%"
"11/30/2022","31.95","30.92","32.19","30.92","12.57M","9.42%"
"11/29/2022","29.20","29.11","29.49","28.45","6.25M","3.88%"
"11/28/2022","28.11","26.84","28.31","26.27","9.35M","8.32%"
"11/25/2022","25.95","25.94","25.98","25.19","4.10M","-4.28%"
"11/23/2022","27.11","27.19","27.30","26.52","4.10M","1.27%"
"11/22/2022","26.77","26.58","27.07","26.13","4.24M","-2.65%"
"11/21/2022","27.50","27.25","28.44","27.11","9.36M","-3.00%"
"11/18/2022","28.35","28.20","28.63","27.94","4.91M","-2.81%"
"11/17/2022","29.17","28.29","30.02","27.92","8.11M","1.43%"
"11/16/2022","28.76","29.03","29.63","28.69","7.17M","-1.78%"
"11/15/2022","29.28","29.70","31.15","29.10","11.16M","5.63%"
"11/14/2022","27.72","28.67","29.40","27.72","4.45M","-3.88%"
"11/11/2022","28.84","29.07","30.14","28.73","9.04M","4.87%"
"11/10/2022","27.50","26.98","27.76","26.67","5.95M","10.00%"
"11/09/2022","25.00","25.97","26.11","24.65","4.22M","-7.99%"
"11/08/2022","27.17","26.65","27.49","26.33","2.23M","0.67%"
"11/07/2022","26.99","28.04","28.63","26.96","8.80M","-3.61%"
"11/04/2022","28.00","28.42","29.04","27.62","13.30M","5.58%"
"11/03/2022","26.52","24.88","26.76","24.87","6.25M","4.00%"
"11/02/2022","25.50","24.65","25.94","24.60","6.92M","3.91%"
"11/01/2022","24.54","25.00","25.45","24.32","6.15M","8.44%"
"10/31/2022","22.63","22.21","22.86","22.08","4.81M","-0.88%"
"10/28/2022","22.83","22.06","22.84","21.90","4.04M","-1.59%"
"10/27/2022","23.20","23.60","23.82","23.12","2.95M","-0.51%"
"10/26/2022","23.32","22.65","23.72","22.53","6.13M","6.58%"
"10/25/2022","21.88","21.34","22.48","21.30","6.82M","7.47%"
"10/24/2022","20.36","20.83","21.00","19.25","11.60M","-14.95%"
"10/21/2022","23.94","23.26","24.13","23.15","4.30M","2.92%"
"10/20/2022","23.26","23.22","24.20","23.01","4.88M","2.83%"
"10/19/2022","22.62","23.50","24.04","22.45","5.11M","-7.79%"
"10/18/2022","24.53","25.15","25.28","24.29","3.77M","1.20%"
"10/17/2022","24.24","24.86","25.20","24.06","5.27M","2.41%"
"10/14/2022","23.67","24.98","25.21","23.67","2.90M","-2.59%"
"10/13/2022","24.30","23.29","24.77","22.81","4.81M","1.84%"
"10/12/2022","23.86","23.98","24.28","23.50","2.91M","0.97%"
"10/11/2022","23.63","25.68","25.79","22.64","12.10M","-11.17%"
"10/10/2022","26.60","27.08","27.20","26.00","14.42M","-6.11%"
"10/07/2022","28.33","28.68","29.08","27.83","3.87M","-3.84%"
"10/06/2022","29.46","30.31","30.33","29.40","3.72M","-2.58%"
"10/05/2022","30.24","29.25","30.50","29.20","7.98M","5.40%"
"10/04/2022","28.69","28.46","29.26","28.42","6.75M","3.65%"
"10/03/2022","27.68","27.39","27.90","26.74","4.13M","1.35%"
