"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2023","29.58","29.47","29.86","28.95","63.80M","0.92%"
"01/04/2023","29.31","30.38","30.41","29.26","79.22M","-3.62%"
"01/03/2023","30.41","29.96","30.77","29.70","77.45M","1.50%"
"12/30/2022","29.96","31.11","31.11","29.90","77.64M","-2.82%"
"12/29/2022","30.83","31.60","31.76","30.73","85.79M","-1.31%"
"12/28/2022","31.24","32.51","32.85","31.02","96.84M","-3.94%"
"12/27/2022","32.52","35.03","35.15","31.85","120.82M","-7.69%"
"12/26/2022","35.23","36.04","36.21","34.95","92.13M","-2.52%"
"12/23/2022","36.14","37.00","37.47","35.73","74.47M","-1.74%"
"12/22/2022","36.78","38.60","38.60","36.45","102.91M","-2.88%"
"12/21/2022","37.87","38.86","39.80","37.72","119.98M","-4.10%"
"12/20/2022","39.49","38.80","40.58","38.80","97.27M","-2.90%"
"12/19/2022","40.67","43.65","43.89","40.67","132.81M","-10.00%"
"12/16/2022","45.19","44.79","46.98","44.78","128.41M","0.87%"
"12/15/2022","44.80","45.33","46.47","44.13","118.93M","-3.90%"
"12/14/2022","46.62","48.46","50.00","45.05","188.02M","-6.87%"
"12/13/2022","50.06","51.98","52.22","48.98","138.17M","-3.27%"
"12/12/2022","51.75","50.88","53.14","49.30","171.10M","1.71%"
"12/09/2022","50.88","50.46","53.79","50.00","207.32M","-1.70%"
"12/08/2022","51.76","49.16","53.96","47.61","260.00M","5.37%"
"12/07/2022","49.12","44.90","49.12","43.00","228.74M","10.01%"
"12/06/2022","44.65","45.78","48.91","43.20","217.04M","-2.08%"
"12/05/2022","45.60","43.60","46.32","42.14","188.96M","8.29%"
"12/02/2022","42.11","42.14","43.50","41.80","88.86M","-0.82%"
"12/01/2022","42.46","46.31","46.31","40.60","148.65M","-5.43%"
"11/30/2022","44.90","43.36","44.90","42.02","137.56M","1.56%"
"11/29/2022","44.21","43.12","47.33","43.12","173.35M","0.25%"
"11/28/2022","44.10","41.95","44.61","41.85","157.12M","6.29%"
"11/25/2022","41.49","43.00","43.20","40.51","130.52M","-5.68%"
"11/24/2022","43.99","40.97","43.99","40.01","189.95M","10.00%"
"11/23/2022","39.99","42.33","42.75","39.59","146.71M","-7.39%"
"11/22/2022","43.18","45.00","45.39","41.75","180.88M","-6.13%"
"11/21/2022","46.00","44.73","48.66","43.02","176.27M","-0.61%"
"11/18/2022","46.28","42.90","47.55","42.03","195.86M","6.07%"
"11/17/2022","43.63","38.38","43.63","38.01","208.19M","10.01%"
"11/16/2022","39.66","40.78","41.47","38.30","228.37M","5.03%"
"11/15/2022","37.76","36.00","37.76","35.51","115.43M","9.99%"
"11/14/2022","34.33","31.21","34.33","31.21","132.71M","10.00%"
"11/11/2022","31.21","34.60","36.60","31.03","153.38M","-9.48%"
"11/10/2022","34.48","34.52","35.36","33.78","74.37M","-1.49%"
"11/09/2022","35.00","32.41","35.66","32.22","115.62M","6.71%"
"11/08/2022","32.80","33.19","33.57","31.56","86.49M","-2.29%"
"11/07/2022","33.57","34.80","34.80","32.99","114.97M","-3.89%"
"11/04/2022","34.93","32.16","35.23","32.00","126.36M","9.05%"
"11/03/2022","32.03","31.20","33.71","30.60","116.89M","-0.40%"
"11/02/2022","32.16","32.00","36.36","31.76","162.98M","-2.69%"
"11/01/2022","33.05","30.47","33.08","29.98","101.38M","8.43%"
"10/31/2022","30.48","28.92","30.85","28.01","95.96M","8.55%"
"10/28/2022","28.08","28.56","29.11","27.61","106.49M","-1.75%"
"10/27/2022","28.58","26.20","28.58","26.00","110.69M","10.01%"
"10/26/2022","25.98","24.50","26.25","24.50","76.30M","7.00%"
"10/25/2022","24.28","24.92","25.56","24.20","58.48M","-3.96%"
"10/24/2022","25.28","25.85","26.93","25.18","99.97M","1.08%"
"10/21/2022","25.01","23.80","25.50","23.70","75.73M","3.30%"
"10/20/2022","24.21","23.00","25.58","22.90","89.27M","4.13%"
"10/19/2022","23.25","23.68","23.69","22.91","44.58M","-2.72%"
"10/18/2022","23.90","22.59","24.50","22.19","82.66M","6.08%"
"10/17/2022","22.53","22.65","23.17","22.46","44.29M","-0.44%"
"10/14/2022","22.63","21.62","23.03","21.58","61.98M","4.29%"
"10/13/2022","21.70","21.52","22.28","21.36","30.15M","0.46%"
"10/12/2022","21.60","21.46","21.65","20.75","30.77M","0.19%"
"10/11/2022","21.56","21.90","21.92","21.11","37.49M","-2.04%"
"10/10/2022","22.01","21.99","22.52","21.50","62.08M","1.38%"
