"Date","Price","Open","High","Low","Vol.","Change %"
"11/30/2022","49.15","47.72","49.15","47.10","10.68M","3.02%"
"11/29/2022","47.71","47.16","48.09","46.88","8.68M","1.12%"
"11/28/2022","47.18","46.10","47.60","46.02","8.30M","0.40%"
"11/25/2022","46.99","47.00","47.43","45.88","8.51M","0.60%"
"11/24/2022","46.71","45.92","47.08","45.81","8.55M","1.57%"
"11/23/2022","45.99","45.28","46.58","44.90","12.11M","1.61%"
"11/22/2022","45.26","46.61","47.09","45.05","14.24M","-3.29%"
"11/21/2022","46.80","45.95","46.92","45.71","10.08M","0.62%"
"11/18/2022","46.51","47.20","47.55","46.13","15.12M","-1.46%"
"11/17/2022","47.20","46.80","47.54","46.15","13.13M","0.70%"
"11/16/2022","46.87","48.17","48.22","46.80","11.01M","-2.70%"
"11/15/2022","48.17","48.30","48.45","46.88","13.25M","-0.06%"
"11/14/2022","48.20","45.95","48.57","45.65","20.46M","4.58%"
"11/11/2022","46.09","46.90","47.16","45.88","13.34M","-0.02%"
"11/10/2022","46.10","47.10","47.32","46.02","13.86M","-2.85%"
"11/09/2022","47.45","47.16","48.20","46.90","14.04M","-0.11%"
"11/08/2022","47.50","48.98","49.00","47.28","16.75M","-3.02%"
"11/07/2022","48.98","49.98","50.00","48.60","11.45M","-1.65%"
"11/04/2022","49.80","48.32","50.67","48.15","11.21M","2.30%"
"11/03/2022","48.68","49.03","49.54","48.08","11.98M","-1.82%"
"11/02/2022","49.58","48.25","51.51","47.45","25.12M","4.82%"
"11/01/2022","47.30","47.60","48.18","46.28","22.66M","-2.97%"
"10/31/2022","48.75","46.10","49.98","45.63","44.59M","-3.85%"
"10/28/2022","50.70","50.70","50.80","50.70","6.11M","-9.99%"
"10/27/2022","56.33","52.32","57.57","52.13","24.74M","7.62%"
"10/26/2022","52.34","51.29","53.22","51.20","8.18M","2.09%"
"10/25/2022","51.27","52.19","53.17","50.50","9.40M","-2.68%"
"10/24/2022","52.68","51.19","54.00","50.80","17.75M","2.67%"
"10/21/2022","51.31","50.96","51.60","50.35","6.49M","1.14%"
"10/20/2022","50.73","50.60","51.84","50.38","6.61M","-0.20%"
"10/19/2022","50.83","52.00","52.48","50.10","10.75M","-3.18%"
"10/18/2022","52.50","50.00","52.74","49.46","14.68M","5.11%"
"10/17/2022","49.95","49.15","51.11","49.12","9.17M","1.69%"
"10/14/2022","49.12","47.18","49.96","47.03","13.21M","4.07%"
"10/13/2022","47.20","46.49","47.47","46.05","6.02M","1.40%"
"10/12/2022","46.55","46.40","46.61","45.13","5.39M","0.54%"
"10/11/2022","46.30","45.29","46.41","44.30","7.30M","2.25%"
"10/10/2022","45.28","45.65","46.38","44.99","10.32M","-0.59%"
