"Date","Price","Open","High","Low","Vol.","Change %"
"06/17/2024","39.75","39.80","39.95","39.40","2.75M","-0.38%"
"06/14/2024","39.90","39.70","40.10","39.15","4.00M","-0.37%"
"06/13/2024","40.05","40.40","40.50","39.75","4.46M","0.50%"
"06/12/2024","39.85","40.10","40.40","39.60","5.10M","-1.36%"
"06/11/2024","40.40","40.30","41.00","40.25","7.08M","-2.30%"
"06/07/2024","41.35","42.15","42.15","41.30","2.93M","-1.08%"
"06/06/2024","41.80","41.70","42.30","41.55","2.09M","0.84%"
"06/05/2024","41.45","41.95","42.15","41.30","3.09M","-0.48%"
"06/04/2024","41.65","41.75","41.90","40.90","5.56M","-0.72%"
"06/03/2024","41.95","41.60","42.40","41.60","4.74M","0.84%"
"05/31/2024","41.60","42.40","42.70","41.30","7.59M","-1.42%"
"05/30/2024","42.20","42.55","42.65","41.90","4.18M","-0.82%"
"05/29/2024","42.55","43.10","43.20","42.55","4.22M","-2.07%"
"05/28/2024","43.45","43.65","43.75","43.30","2.58M","-0.57%"
"05/27/2024","43.70","43.35","44.00","43.20","1.25M","0.81%"
"05/24/2024","43.35","44.45","44.60","43.10","2.92M","-3.13%"
"05/23/2024","44.75","45.00","45.30","44.45","2.45M","-2.08%"
"05/22/2024","45.70","46.20","46.40","45.50","3.17M","0.11%"
"05/21/2024","45.65","46.20","46.45","45.45","2.39M","-2.14%"
"05/20/2024","46.65","46.40","46.75","46.40","2.64M","0.54%"
"05/17/2024","46.40","45.95","46.55","45.95","5.27M","0.54%"
"05/16/2024","46.15","46.40","46.40","45.65","4.73M","0.22%"
"05/14/2024","46.05","46.25","46.70","46.05","3.79M","-0.65%"
"05/13/2024","46.35","46.00","46.45","45.35","5.66M","0.76%"
"05/10/2024","46.00","45.60","46.40","45.60","3.98M","-0.33%"
"05/09/2024","46.15","46.25","46.25","45.55","2.38M","0.11%"
"05/08/2024","46.10","46.50","46.50","46.00","2.61M","-0.32%"
"05/07/2024","46.25","46.40","46.55","45.75","4.04M","0.00%"
"05/06/2024","46.25","47.00","47.00","45.60","8.46M","-2.94%"
"05/03/2024","47.65","48.80","48.80","47.45","4.17M","-0.63%"
"05/02/2024","47.95","46.20","48.20","46.10","3.13M","3.79%"
"04/30/2024","46.20","45.95","46.70","45.95","3.34M","0.65%"
"04/29/2024","45.90","45.00","46.15","44.35","4.56M","2.34%"
"04/26/2024","44.85","44.65","44.95","44.60","4.66M","0.11%"
"04/25/2024","44.80","44.50","44.80","44.25","2.72M","0.45%"
"04/24/2024","44.60","44.50","44.80","44.30","5.29M","0.68%"
"04/23/2024","44.30","44.00","44.40","43.90","3.35M","0.23%"
"04/22/2024","44.20","43.90","44.40","43.40","3.35M","3.51%"
"04/19/2024","42.70","42.15","43.00","42.15","4.16M","-0.70%"
