"Date","Price","Open","High","Low","Vol.","Change %"
"12/23/2022","7.30","7.37","7.48","7.28","12.89M","-1.75%"
"12/22/2022","7.43","7.34","7.62","7.34","18.17M","1.23%"
"12/21/2022","7.34","7.21","7.34","7.07","13.19M","2.23%"
"12/20/2022","7.18","7.15","7.21","7.03","10.73M","0.42%"
"12/19/2022","7.15","7.33","7.38","7.05","18.85M","-2.46%"
"12/16/2022","7.33","7.35","7.45","7.21","27.57M","-0.81%"
"12/15/2022","7.39","7.62","7.63","7.21","29.16M","-2.25%"
"12/14/2022","7.56","7.50","7.69","7.45","24.56M","0.93%"
"12/13/2022","7.49","7.20","7.77","7.20","62.27M","3.17%"
"12/12/2022","7.26","7.18","7.50","7.09","71.41M","1.11%"
"12/09/2022","7.18","7.05","7.20","6.88","40.43M","3.01%"
"12/08/2022","6.97","6.68","7.09","6.68","49.82M","5.77%"
"12/07/2022","6.59","6.32","7.60","6.32","128.18M","4.27%"
"12/06/2022","6.32","6.20","6.39","6.12","19.68M","0.64%"
"12/05/2022","6.28","6.07","6.35","6.07","34.47M","3.63%"
"12/02/2022","6.06","6.06","6.10","5.78","30.46M","0.00%"
"12/01/2022","6.06","6.33","6.36","6.01","24.64M","-2.26%"
"11/30/2022","6.20","5.92","6.22","5.85","28.66M","4.20%"
"11/29/2022","5.95","5.55","6.01","5.55","27.61M","5.87%"
"11/28/2022","5.62","5.50","5.64","5.35","14.34M","1.26%"
"11/25/2022","5.55","5.51","5.58","5.51","5.66M","0.18%"
"11/24/2022","5.54","5.67","5.67","5.52","12.55M","-2.12%"
"11/23/2022","5.66","5.56","5.67","5.48","15.04M","1.80%"
"11/22/2022","5.56","5.62","5.64","5.52","14.58M","-1.07%"
"11/21/2022","5.62","5.80","5.80","5.53","14.01M","-3.60%"
"11/18/2022","5.83","6.02","6.07","5.81","16.58M","-3.00%"
"11/17/2022","6.01","6.05","6.07","5.93","14.43M","-0.83%"
"11/16/2022","6.06","6.10","6.24","6.03","16.27M","-0.66%"
"11/15/2022","6.10","6.06","6.21","6.04","13.83M","0.83%"
"11/14/2022","6.05","6.46","6.52","6.00","38.14M","-6.06%"
"11/11/2022","6.44","6.51","6.72","6.13","52.14M","2.38%"
"11/10/2022","6.29","6.15","6.43","6.15","16.72M","-0.16%"
"11/09/2022","6.30","6.25","6.48","6.25","8.73M","0.64%"
"11/08/2022","6.26","6.40","6.45","6.20","11.90M","-1.88%"
"11/07/2022","6.38","6.28","6.43","6.15","16.59M","0.47%"
"11/04/2022","6.35","5.91","6.40","5.91","29.39M","7.45%"
"11/03/2022","5.91","5.88","5.93","5.80","11.08M","-1.50%"
"11/02/2022","6.00","5.72","6.13","5.69","19.25M","2.92%"
"11/01/2022","5.83","5.46","5.88","5.34","16.62M","6.78%"
"10/31/2022","5.46","5.83","5.83","5.36","14.12M","-5.86%"
"10/28/2022","5.80","5.89","5.90","5.72","6.67M","-1.19%"
"10/27/2022","5.87","5.95","6.05","5.85","10.57M","0.34%"
"10/26/2022","5.85","5.82","5.95","5.69","9.55M","1.04%"
"10/25/2022","5.79","5.58","5.81","5.46","16.31M","3.95%"
"10/24/2022","5.57","5.88","5.88","5.47","12.33M","-5.59%"
"10/21/2022","5.90","5.98","5.98","5.80","5.19M","-0.34%"
"10/20/2022","5.92","5.70","5.99","5.61","17.88M","3.32%"
"10/19/2022","5.73","5.85","5.92","5.70","8.01M","-1.72%"
"10/18/2022","5.83","5.72","5.93","5.70","13.24M","3.37%"
"10/17/2022","5.64","5.52","5.67","5.33","9.87M","1.99%"
"10/14/2022","5.53","5.64","5.71","5.52","7.27M","-0.54%"
"10/13/2022","5.56","5.58","5.65","5.48","9.23M","-0.89%"
"10/12/2022","5.61","5.72","5.75","5.55","15.49M","-1.92%"
"10/11/2022","5.72","6.24","6.26","5.68","33.55M","-9.06%"
"10/10/2022","6.29","6.53","6.53","6.24","13.78M","-4.84%"
